x,y,width,height,attempt,log_attempt,made,missed
57,1,1,1,1,0.0,0,2
64,1,1,1,1,0.0,0,2
76,1,1,1,1,0.0,0,2
79,1,1,1,2,0.3010299956639812,0,4
80,1,1,1,1,0.0,0,2
81,1,1,1,1,0.0,0,2
82,1,1,1,1,0.0,2,0
83,1,1,1,2,0.3010299956639812,4,0
84,1,1,1,4,0.6020599913279624,2,6
85,1,1,1,2,0.3010299956639812,0,4
86,1,1,1,1,0.0,0,2
87,1,1,1,1,0.0,0,2
88,1,1,1,2,0.3010299956639812,0,4
89,1,1,1,1,0.0,2,0
91,1,1,1,1,0.0,0,2
95,1,1,1,1,0.0,0,2
96,1,1,1,1,0.0,0,2
99,1,1,1,18,1.255272505103306,30,6
54,2,1,1,1,0.0,0,2
62,2,1,1,1,0.0,2,0
69,2,1,1,2,0.3010299956639812,2,2
70,2,1,1,3,0.47712125471966244,2,4
71,2,1,1,1,0.0,0,2
72,2,1,1,1,0.0,0,2
73,2,1,1,3,0.47712125471966244,2,4
74,2,1,1,3,0.47712125471966244,0,6
76,2,1,1,5,0.6989700043360189,6,4
77,2,1,1,4,0.6020599913279624,2,6
78,2,1,1,7,0.8450980400142568,2,12
79,2,1,1,4,0.6020599913279624,2,6
80,2,1,1,15,1.1760912590556813,4,26
81,2,1,1,13,1.1139433523068367,10,16
82,2,1,1,17,1.2304489213782739,16,18
83,2,1,1,16,1.2041199826559248,8,24
84,2,1,1,22,1.3424226808222062,12,32
85,2,1,1,14,1.146128035678238,6,22
86,2,1,1,35,1.5440680443502757,28,42
87,2,1,1,24,1.380211241711606,18,30
88,2,1,1,36,1.5563025007672873,30,42
89,2,1,1,38,1.5797835966168101,20,56
90,2,1,1,45,1.6532125137753437,30,60
91,2,1,1,43,1.6334684555795864,28,58
92,2,1,1,42,1.6232492903979006,36,48
93,2,1,1,45,1.6532125137753437,28,62
94,2,1,1,39,1.591064607026499,22,56
95,2,1,1,27,1.4313637641589874,12,42
96,2,1,1,5,0.6989700043360189,4,6
97,2,1,1,19,1.2787536009528289,8,30
98,2,1,1,16,1.2041199826559248,10,22
99,2,1,1,7,0.8450980400142568,8,6
58,3,1,1,1,0.0,2,0
61,3,1,1,2,0.3010299956639812,0,4
66,3,1,1,2,0.3010299956639812,0,4
67,3,1,1,1,0.0,0,2
68,3,1,1,4,0.6020599913279624,0,8
69,3,1,1,2,0.3010299956639812,0,4
70,3,1,1,1,0.0,0,2
71,3,1,1,2,0.3010299956639812,2,2
72,3,1,1,3,0.47712125471966244,0,6
73,3,1,1,4,0.6020599913279624,0,8
74,3,1,1,15,1.1760912590556813,6,24
75,3,1,1,6,0.7781512503836436,4,8
76,3,1,1,6,0.7781512503836436,2,10
77,3,1,1,14,1.146128035678238,6,22
78,3,1,1,14,1.146128035678238,6,22
79,3,1,1,16,1.2041199826559248,12,20
80,3,1,1,24,1.380211241711606,22,26
81,3,1,1,28,1.4471580313422192,24,32
