id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Households
0101901,01,Alabama,AL,Chambers County,Wadley,Abanda,CDP,place,36276,256,7764034,34284,33.091627,-85.527029,14597,11326,10911,52
0101903,01,Alabama,AL,Jefferson County,Adamsville,Adamsville city,City,place,35005,205,65064935,29719,33.60575,-86.97465,95877,85644,101256,1704
0101905,01,Alabama,AL,Hale County,Akron,Akron,Town,place,35541,205,1776164,13849,32.879495,-87.741679,25389,20009,24840,126
0101907,01,Alabama,AL,Marshall County,Albertville,Albertville city,City,place,35950,256,68731806,258708,34.26313,-86.21066,100169,85168,113148,7307
0101909,01,Alabama,AL,Calhoun County,Alexandria,Alexandria,CDP,place,36250,256,28834974,33099,33.760819,-85.872008,93217,92686,92828,1464
0101911,01,Alabama,AL,Blount County,Oneonta,Allgood,Town,place,35121,205,2690288,1452,33.907623,-86.516109,78112,72651,68955,245
0101913,01,Alabama,AL,Etowah County,Walnut Grove,Altoona,Town,place,35990,205,11193369,25442,34.039204,-86.305697,52118,45447,39523,323
0101915,01,Alabama,AL,Lauderdale County,Anderson,Anderson,Town,place,35610,256,3347216,1520,34.915675,-87.274274,75046,74670,78424,115
0101917,01,Alabama,AL,Cullman County,Arab,Arab city,City,place,35016,256,34345826,346373,34.332387,-86.501167,60404,300000,49342,25
0101919,01,Alabama,AL,Limestone County,Ardmore,Ardmore,Town,place,35739,256,5289466,21830,34.987838,-86.829022,88080,73785,101398,571
0101921,01,Alabama,AL,St. Clair County,Odenville,Argo,Town,place,35120,205,27893577,150331,33.691576,-86.503766,79361,86061,73435,1513
0101923,01,Alabama,AL,Winston County,Arley,Arley,Town,place,35541,205,9740655,33989,34.076234,-87.217831,50176,49775,23406,179
0101925,01,Alabama,AL,Clay County,Ashland,Ashland,Town,place,36251,256,18986275,85046,33.269892,-85.833706,64354,63003,48056,1037
0101927,01,Alabama,AL,Limestone County,Athens,Athens city,City,place,35611,256,103245839,659827,34.779021,-86.950799,137600,111583,152582,9326
0101929,01,Alabama,AL,Etowah County,Attalla,Attalla city,City,place,35954,256,18079281,0,33.986189,-86.121037,84120,76235,92890,2313
0101931,01,Alabama,AL,Autauga County,Autaugaville,Autaugaville,Town,place,36003,334,19936288,526181,32.432563,-86.658752,54145,58862,15092,462
0101933,01,Alabama,AL,Mobile County,Satsuma,Axis,CDP,place,36572,251,10164766,28960,30.922563,-88.02185,88597,94953,84787,278
0101935,01,Alabama,AL,Cullman County,Baileyton,Baileyton,Town,place,35019,256,13620112,146518,34.260858,-86.608788,116960,72563,141888,329
0101937,01,Alabama,AL,Etowah County,Hokes Bluff,Ballplay,CDP,place,35903,256,60996781,485209,34.023046,-85.801481,63209,71242,19697,506
0101939,01,Alabama,AL,Baldwin County,Bay Minette,Bay Minette city,City,place,36507,251,44692221,196438,30.894436,-87.791306,97243,81210,112773,3011
0101941,01,Alabama,AL,Marion County,Linden,Bear Creek,Town,place,36748,334,35295458,345562,34.255481,-87.713399,61514,67688,-1,547
0101943,01,Alabama,AL,Lamar County,Guin,Beaverton,Town,place,35563,205,11882781,0,33.935411,-88.021778,71475,98649,-1,115
0101945,01,Alabama,AL,Fayette County,Fayette,Belk,Town,place,35555,205,3588962,0,33.651647,-87.928609,62817,63141,61815,101
0101947,01,Alabama,AL,Mobile County,Mobile,Belle Fontaine,CDP,place,36605,251,4022920,939300,30.489492,-88.10594,58913,77914,-1,180
0101949,01,Alabama,AL,Fayette County,Berry,Berry,Town,place,35546,205,27884733,15029,33.666702,-87.609311,66362,62350,74776,603
0101951,01,Alabama,AL,Autauga County,Billingsley,Billingsley,Town,place,36006,205,3383297,3909,32.66522,-86.706673,117114,66575,142306,63
0101953,01,Alabama,AL,Shelby County,Birmingham,Birmingham city,City,place,35203,205,378353942,6591013,33.527444,-86.799047,85695,71497,93195,960
0101955,01,Alabama,AL,Blount County,Blountsville,Blountsville,Town,place,35031,205,14039365,179778,34.075728,-86.583728,108951,80192,134269,636
0101957,01,Alabama,AL,Barbour County,Skipperville,Blue Springs,Town,place,36374,334,7500883,0,31.663516,-85.503526,77433,300000,71762,39
0101959,01,Alabama,AL,Marshall County,Boaz,Boaz city,City,place,35957,256,37683451,161880,34.19902,-86.155151,117703,90424,132871,2946
0101961,01,Alabama,AL,Talladega County,Childersburg,Bon Air,Town,place,35044,256,3436489,15386,33.25937,-86.327148,37986,30862,34633,33
0101963,01,Alabama,AL,Wilcox County,Camden,Boykin,CDP,place,36726,334,6888209,30520,32.068375,-87.294343,15801,8378,15730,32
0101965,01,Alabama,AL,Shelby County,Maylene,Brantleyville,CDP,place,35114,205,5688362,26749,33.219303,-86.882522,70823,75680,72754,386
0101967,01,Alabama,AL,Escambia County,Brewton,Brewton city,City,place,36426,251,29044814,609964,31.109175,-87.076583,100562,77399,121191,2126
0101969,01,Alabama,AL,Jefferson County,Brighton,Brighton city,City,place,35020,205,3673771,0,33.439229,-86.945385,35004,27294,35420,1071
0101971,01,Alabama,AL,Etowah County,Walnut Grove,Bristow Cove,CDP,place,35990,205,28083738,0,34.109216,-86.240993,71534,87497,70370,206
0101973,01,Alabama,AL,Jefferson County,Mount Olive,Brookside,Town,place,35117,205,16582314,27676,33.636966,-86.89608,115615,83777,137661,504
0101975,01,Alabama,AL,Cherokee County,Gaylesville,Broomtown,CDP,place,35973,256,12156602,0,34.365728,-85.532112,55471,47027,52587,92
0101977,01,Alabama,AL,Mobile County,Mount Vernon,Bucks,CDP,place,36560,251,1003273,92976,31.016881,-88.026385,48250,300000,33734,25
0101979,01,Alabama,AL,Chilton County,Calera,Calera city,City,place,35040,205,62376107,685210,33.122319,-86.745644,0,0,0,0
0101981,01,Alabama,AL,Mobile County,Mount Vernon,Calvert,CDP,place,36560,251,8879545,48801,31.15447,-88.01046,0,0,0,0
0101983,01,Alabama,AL,Wilcox County,Camden,Camden city,City,place,36726,334,10836797,34892,31.998493,-87.28895,69708,75524,69935,876
0101985,01,Alabama,AL,Walker County,Carbon Hill,Carbon Hill city,City,place,35549,205,14245476,221464,33.894991,-87.522078,45965,36161,53726,751
0101987,01,Alabama,AL,Etowah County,Boaz,Carlisle-Rockledge,CDP,place,35956,256,41929653,12741,34.114451,-86.124073,63587,61531,63771,858
0101989,01,Alabama,AL,Covington County,Andalusia,Carolina,Town,place,36420,334,2871453,20504,31.23415,-86.521001,60141,65426,52848,122
0101991,01,Alabama,AL,Conecuh County,Castleberry,Castleberry,Town,place,36432,251,4431204,48957,31.299678,-87.029129,42546,26819,47453,285
0101993,01,Alabama,AL,Cherokee County,Cedar Bluff,Cedar Bluff,Town,place,35959,256,13174609,152247,34.221422,-85.588565,93537,78494,108792,872
0101995,01,Alabama,AL,Cherokee County,Centre,Centre city,City,place,35960,256,29628797,241373,34.155363,-85.668842,76080,70130,85737,1545
0101997,01,Alabama,AL,Washington County,Chatom,Chatom,Town,place,36518,251,27770887,0,31.469145,-88.246019,123539,91217,144729,407
0101999,01,Alabama,AL,Colbert County,Cherokee,Cherokee,Town,place,35616,256,5740564,704,34.7577,-87.965589,67540,74763,67963,381
01011001,01,Alabama,AL,Talladega County,Childersburg,Childersburg city,City,place,35044,256,31919335,652240,33.291877,-86.340599,98677,80123,119257,2181
01011003,01,Alabama,AL,Mobile County,Wilmer,Chunchula,CDP,place,36587,251,4671130,21008,30.927194,-88.2082,67606,300000,62111,67
01011005,01,Alabama,AL,Chilton County,Clanton,Clanton city,City,place,35045,205,56812440,353342,32.841704,-86.623008,104094,92273,111645,3353
01011007,01,Alabama,AL,Dale County,Daleville,Clayhatchee,Town,place,36322,334,7039400,0,31.236925,-85.721478,62842,63909,62798,203
01011009,01,Alabama,AL,Blount County,Cleveland,Cleveland,Town,place,35049,205,20308407,131765,34.002179,-86.561352,82028,71810,86444,428
01011011,01,Alabama,AL,Tuscaloosa County,Vance,Coaling,Town,place,35490,205,12986097,178716,33.169901,-87.349887,95280,88691,95523,570
01011013,01,Alabama,AL,Geneva County,Geneva,Coffee Springs,Town,place,36340,334,2030176,29256,31.165836,-85.910898,73521,75697,72830,114
01011015,01,Alabama,AL,Tuscaloosa County,Coker,Coker,Town,place,35452,205,5271311,23040,33.243752,-87.681329,109908,96976,117859,295
01011017,01,Alabama,AL,DeKalb County,Collinsville,Collinsville,Town,place,35961,256,10141848,45133,34.262193,-85.867868,57456,63599,57480,553
01011019,01,Alabama,AL,Houston County,Columbia,Columbia,Town,place,36319,334,10181708,170212,31.295351,-85.110202,66327,68157,68407,297
01011021,01,Alabama,AL,Jefferson County,Bessemer,Concord,CDP,place,35023,205,8716229,44246,33.461986,-87.040435,110564,95571,118120,867
01011023,01,Alabama,AL,Walker County,Cordova,Cordova city,City,place,35550,205,15091310,292352,33.761292,-87.201099,49530,38798,55159,872
01011025,01,Alabama,AL,Houston County,Cottonwood,Cottonwood,Town,place,36320,334,14950836,67217,31.054033,-85.29956,86824,74354,104719,549
01011027,01,Alabama,AL,Jefferson County,Morris,County Line,Town,place,35116,205,2500017,0,33.820895,-86.71973,100182,111221,96784,28
01011029,01,Alabama,AL,Houston County,Dothan,Cowarts,Town,place,36301,334,19196913,128863,31.206248,-85.309769,74102,74594,72191,753
01011031,01,Alabama,AL,DeKalb County,Crossville,Crossville,Town,place,35962,256,21676691,1995,34.285486,-85.998756,93641,84765,106970,742
01011033,01,Alabama,AL,Cullman County,Cullman,Cullman city,City,place,35055,256,50147181,3094442,34.179337,-86.840793,110526,88597,129105,6120
01011035,01,Alabama,AL,Washington County,Millry,Cullomburg,CDP,place,36558,251,13842493,0,31.713061,-88.291774,69750,300000,55478,10
01011037,01,Alabama,AL,Tallapoosa County,Dadeville,Dadeville city,City,place,36853,256,41287909,219837,32.826114,-85.776201,71357,81208,63249,1207
01011039,01,Alabama,AL,Baldwin County,Daphne,Daphne city,City,place,36526,251,42694236,3179888,30.625545,-87.895979,135469,116951,144081,8922
01011041,01,Alabama,AL,Tallapoosa County,Wadley,Daviston,Town,place,36276,256,23658278,77680,33.056839,-85.634329,91485,111593,73111,105
01011043,01,Alabama,AL,Elmore County,Deatsville,Deatsville,Town,place,36022,334,12075453,81173,32.588972,-86.388984,114186,105968,112570,389
01011045,01,Alabama,AL,Morgan County,Decatur,Decatur city,City,place,35601,256,141006257,17594716,34.573321,-86.992135,111569,93098,124623,22294
01011047,01,Alabama,AL,Clay County,Heflin,Delta,CDP,place,36264,256,20167124,272009,33.440524,-85.675905,78941,300000,72079,145
01011049,01,Alabama,AL,Lamar County,Sulligent,Detroit,Town,place,35586,205,3434686,0,34.027379,-88.167831,48285,53341,46149,101
01011051,01,Alabama,AL,Walker County,Dora,Dora city,City,place,35062,205,19450626,22559,33.729703,-87.083874,109771,99885,119922,812
01011053,01,Alabama,AL,Henry County,Dothan,Dothan city,City,place,36303,334,232166237,835468,31.233698,-85.406823,0,0,0,0
01011055,01,Alabama,AL,Winston County,Double Springs,Double Springs,Town,place,35553,205,10643727,57640,34.15134,-87.403488,124294,68149,155176,372
01011057,01,Alabama,AL,Crenshaw County,Andalusia,Dozier,Town,place,36421,334,7660285,30819,31.505407,-86.369235,34236,29001,33046,122
01011059,01,Alabama,AL,Jackson County,Dutton,Dutton,Town,place,35744,256,2237817,0,34.606152,-85.91185,109048,98827,114906,107
01011061,01,Alabama,AL,Cullman County,Cullman,East Point,CDP,place,35055,256,2878380,20069,34.191023,-86.791785,84431,300000,74135,64
01011063,01,Alabama,AL,Jefferson County,Birmingham,Edgewater,CDP,place,35224,205,3140569,61545,33.530099,-86.95279,30788,27854,25552,326
01011065,01,Alabama,AL,Etowah County,Attalla,Egypt,CDP,place,35954,256,23341363,0,34.075931,-86.165051,73154,75986,64110,383
01011067,01,Alabama,AL,Baldwin County,Elberta,Elberta,Town,place,36530,251,17806123,261887,30.373689,-87.595778,82700,74699,93618,655
01011069,01,Alabama,AL,Limestone County,Elkmont,Elkmont,Town,place,35620,256,4137995,28880,34.932604,-86.976971,96524,74363,109841,182
01011071,01,Alabama,AL,Sumter County,Livingston,Emelle,Town,place,35470,205,546062,0,32.728678,-88.316486,47128,300000,39618,20
01011073,01,Alabama,AL,Coffee County,Enterprise,Enterprise city,City,place,36330,334,79305520,174204,31.326912,-85.844077,116654,101326,125168,10108
01011075,01,Alabama,AL,Sumter County,Livingston,Epes,Town,place,35470,205,4970535,0,32.691249,-88.126852,57781,49950,60369,64
01011077,01,Alabama,AL,Barbour County,Eufaula,Eufaula city,City,place,36027,334,153817226,36482611,31.910041,-85.152556,85455,77950,96202,4962
01011079,01,Alabama,AL,Greene County,Eutaw,Eutaw,Town,place,35462,205,30907153,197192,32.846247,-87.900332,54588,46551,61858,1067
01011081,01,Alabama,AL,Conecuh County,Evergreen,Evergreen city,City,place,36401,334,40412368,459686,31.442718,-86.959904,60333,56867,70933,1492
01011083,01,Alabama,AL,Jefferson County,Fairfield,Fairfield city,City,place,35064,205,8987176,0,33.474705,-86.91934,88921,77445,102165,4198
01011085,01,Alabama,AL,Baldwin County,Fairhope,Fairhope city,City,place,36532,251,31211411,52083,30.52092,-87.879122,159428,152268,168750,6551
01011087,01,Alabama,AL,Morgan County,Falkville,Falkville,Town,place,35622,256,9786878,46596,34.377019,-86.909547,69896,59792,72520,352
01011089,01,Alabama,AL,Fayette County,Fayette,Fayette city,City,place,35555,205,22143481,212108,33.694215,-87.831169,73787,63663,89354,1884
01011091,01,Alabama,AL,Bullock County,Union Springs,Fitzpatrick,CDP,place,36089,334,10780817,91583,32.210373,-85.873699,64063,72997,58262,33
01011093,01,Alabama,AL,Escambia County,Flomaton,Flomaton,Town,place,36441,251,13172116,287919,31.014816,-87.256016,51470,46862,54652,621
01011095,01,Alabama,AL,Lauderdale County,Florence,Florence city,City,place,35630,256,67609959,522106,34.830323,-87.666139,96867,78701,112412,17568
01011097,01,Alabama,AL,Jefferson County,Birmingham,Forestdale,CDP,place,35214,205,17479591,0,33.57368,-86.900139,98519,90064,103429,3702
01011099,01,Alabama,AL,Lowndes County,Fort Deposit,Fort Deposit,Town,place,36032,334,14663106,0,31.986261,-86.566359,83121,66581,105150,524
01011101,01,Alabama,AL,Dale County,Ft Rucker,Fort Rucker,CDP,place,36362,334,28186630,46399,31.342576,-85.716072,92265,85127,91939,1230
01011103,01,Alabama,AL,Chambers County,Five Points,Fredonia,CDP,place,36855,334,31025631,67880,32.967905,-85.296657,152646,300000,160275,132
